"created_at","text","favorite_count","mentions_user_id","hashtags","place_full_name","id"
2022-06-12,"Nick Viall &amp; Natalie Joy, Will They Be The Next Engaged Couple? #thebachelor #thebachelorette #bachelornation  https://t.co/yoMNUVZVgE",0,,"thebachelor thebachelorette bachelornation",,62
2022-06-16,"Some of @bachnation's biggest members are weighing in on the next season of #TheBachelorette.

https://t.co/2hJltoiHiZ",3,"x239521830","TheBachelorette",,63
2022-06-13,"Andi Dorfman isn't pleased by the news that #TheBachelorette will have two leading ladies. 

https://t.co/iYFPkzSKY4",7,,"TheBachelorette",,64
2022-06-16,"The @bachnation podcast hosts have some thoughts about the upcoming season of #TheBachelorette 🌹 Here’s what Becca, Bryan, Joe and more told me for @etnow 

https://t.co/WWM35I564x",2,"x239521830 x23603092","TheBachelorette","Nashville, TN",65
2022-06-15,"She's got our final rose! 🌹 See #TheBachelorette alum JoJo Fletcher's sexiest bikini photos. https://t.co/1UUZLc4lwe",0,,"TheBachelorette",,66
2022-06-15,"#TheBachelorette star Rachel Recchia's bikini photos are definitely rose worthy! 🌹 https://t.co/UJ4zrHewQI",0,,"TheBachelorette",,67
2022-06-15,"Where is he now? Find out what Chris Harrison has been up to since he stepped away from #TheBachelor and #TheBachelorette.
https://t.co/gKwusbcICE",0,,"TheBachelor TheBachelorette",,68
2022-06-15,"When is the influencer Era going to be over? Nothing seems authentic with them around. 
#Kardashians #90DayFiance #Bigbrother #TheBachelorette https://t.co/sw6riE3CxE",1,,"Kardashians 90DayFiance Bigbrother TheBachelorette",,69
2022-06-15,"the problem with watching old Bach seasons on HBO Max is that the rest of Bach twitter isn’t simultaneously watching it and ready for your 6yr late hot takes #TheBachelorette #BachelorInParadise #TheBachelor",7,,"TheBachelorette BachelorInParadise TheBachelor",,70
2022-06-15,"Who will watch the new season of #TheBachelorette thoughts?",0,,"TheBachelorette",,71
2022-06-15,"New Bachelorette 2022 Preview Clip Released Featuring Gabby, Rachel &amp; The Men!https://t.co/AEibNXZplP

#TheBachelorette 
#BachelorNation https://t.co/45e72Pxo6T",0,,"TheBachelorette BachelorNation",,72
2022-06-14,"SLAY QUEENS 👸🏼👸🏽#thebachelorette https://t.co/rjRGne4wGv",4,,"thebachelorette",,73
2022-06-14,"Why did a nice female Thai student go mad in Bangkok? wreaking havoc, fear, mayhem and #revenge? Read TIGER LILY OG BANGKOK' by Owen Jones https://t.co/NOVA5SXNny #TheBachelorette https://t.co/Nq4cxGGoQ7",0,,"revenge TheBachelorette",,74
2022-06-14,"We’re all definitely going to like Justin more than Joey
#TheBachelorette https://t.co/X3yVeaHrCc",4,,"TheBachelorette",,75
2022-06-14,"Andi Dorfman is sharing why she's ""bummed"" that the new season of #TheBachelorette will feature two leads
https://t.co/ZgdAYhysaB",2,,"TheBachelorette",,76
2022-06-14,"Wow shattered rose lives up to expectations! 😁  Sarah for #TheBachelorette 🥰 #MasterChefAU",2,,"TheBachelorette MasterChefAU",,77
2022-06-14,"Here's what we know about 'The Bachelorette' season 19

https://t.co/WgdEzTwt45

#TheBachelorette #season19 #entertainment https://t.co/mawFbAzBsB",0,,"TheBachelorette season19 entertainment",,78
2022-06-14,"Less than a month for the start of #BB24 and season 19 of #thebachelorette AHHHHH https://t.co/gd0i5WAPLs",1,,"BB24 thebachelorette",,79
2022-06-14,"If ABC wanted to get boffo ratings for #TheBachelorette all they need to do is get @chestnuthell @ThatOmahaChick @TheresaFerrent2 Done, done and done.   #NoMagdaZone",3,"x47534846 x31020817 x1161036397207330818","TheBachelorette NoMagdaZone","Branford, CT",80
2022-06-14,"The Bachelorette spoilers: New promo teases Gabby, Rachel fun! #TheBachelorette https://t.co/FdwsY3XkdC",2,,"TheBachelorette",,81
2022-06-14,"Sign up for your own fantasy leagues today! #thebachelorette #thebachelor #thebacheloretterachel #thebachelorettegabby #abc #realtvfantasy https://t.co/UNNGHKVoUl https://t.co/A1qq5E27bP",0,,"thebachelorette thebachelor thebacheloretterachel thebachelorettegabby abc realtvfantasy",,82
2022-06-13,"Four weeks until Bachelorettes Monday 🌹
 
#TheBachelorette https://t.co/Tf2MTr7mRh",310,,"TheBachelorette",,83
2022-06-13,"With two Bachelorettes this season, we're in store for an amazing journey. #TheBachelorette https://t.co/aEYNZE7BWv",20,,"TheBachelorette",,84
2022-06-13,"Laughing at lots of things. One being people oblivious to the CMA Fest being in Nashville. Two being Thomas is Black and Serena isn't. Now you know! #TheBachelorette https://t.co/zlkf794Q9f",0,,"TheBachelorette",,85
2022-06-13,"Two Bachelorettes. Two previews to breakdown. Our first look at Rachel and Gabby's season is here which means it's time to dust off our sleuthing caps and get to work! It's the first preview breakdown of the season:

https://t.co/2Ji4hZeeF6

#TheBachelorette",130,,"TheBachelorette",,86
2022-06-13,"Tune into #TheJessCagleShow today to hear @juliacunningham talk #TheBachelorette and pop culture news!

And ICYMI, we'll be airing our special with the director and cast of @JurassicWorld 

Listen on channel 109 at 2pmET/11amPT and again at 6pmET/3pmPT!

https://t.co/m60h3enZZt",0,"x30010782 x525808515","TheJessCagleShow TheBachelorette",,87
2022-06-13,"me getting ready for a new season of #TheBachelorette https://t.co/LDNVNRHeHN",187,,"TheBachelorette",,88
2022-06-13,"@BachelorABC @TheBachelorUK when will you have male to female trans women on your show? 

@BacheloretteABC when will you have trans men on your show? 

#TheBachelor #TheBachelorette",0,"x346878074 x357516714 x288309667","TheBachelor TheBachelorette",,89
2022-06-13,"Tune in! THE BACHELORETTE on 7/11 &amp; BACHELOR IN PARADISE Mondays &amp; Tuesdays this Fall on ABC &amp; Stream on Hulu!🌹#NewJob #DayOne #Grateful #BachJourney #BachelorNation #TheBachelor #TheBachelorette #BachelorInParadise #WBTV #Diversity #Equity #Inclusion #RepresentationMatters 7/7",2,,"NewJob DayOne Grateful BachJourney BachelorNation TheBachelor TheBachelorette BachelorInParadise WBTV Diversity Equity Inclusion RepresentationMatters","Newport Beach, CA",90
2022-06-13,"Today on @kaitcoaching, Kait recaps her triple concert weekend &amp; reviews the contestants &amp; cast members of the upcoming seasons of #TheChallenge (CBS) &amp; #TheBachelorette. Listen: https://t.co/X3OyjBqARq",0,"x846457826851590145","TheChallenge TheBachelorette",,91
2022-06-13,"@KrisGoldsmith85 Jesus. It’s like Us Weekly released the contestants of #TheBachelorette in the upside down",0,"x266975216","TheBachelorette",,92
2022-06-12,"jonathon is giving the survivor version of blake moynes from bachelor nation #Survivor #TheBachelorette https://t.co/x3y3g53NJ2",0,,"Survivor TheBachelorette",,93
2022-06-12,"one month away from #TheBachelorette &amp; the infamous cast bios are out!! and i’m infamously “judgy” so i took a look at a few in this week’s newsletter https://t.co/Dw9euQJNdU",0,,"TheBachelorette",,94
2022-06-12,"@mikegolicjr Bachelor Party latest episode meet the guys for #TheBachelorette",0,"x140308631","TheBachelorette",,95
2022-06-12,"Share the #Best #tvshow content
Download the Best #app : https://t.co/29sgyGIwF8 
#thebachelor #thebachelorette #bachelornation #abc #abctelevision #abcnetwork #realitytv #highlights #season26 #s26  https://t.co/vlhOgmYBTq https://t.co/CVSoesADw1",0,,"Best tvshow app thebachelor thebachelorette bachelornation abc abctelevision abcnetwork realitytv highlights season26 s26",,96
2022-06-12,"Share the #Best #tvshow content
Download the Best #app : https://t.co/29sgyGIwF8 
#thebachelor #thebachelorette #bachelornation #abc #abctelevision #abcnetwork #realitytv #highlights #season26 #s26  https://t.co/jf1dTDvDeK https://t.co/wqgZwWLwz4",0,,"Best tvshow app thebachelor thebachelorette bachelornation abc abctelevision abcnetwork realitytv highlights season26 s26",,97
2022-06-12,"What's #Best on https://t.co/N2a7jotnp4 ?
The Bachelorette - Meet The Men
https://t.co/M92QB53AFg
#tvshow #thebachelor #thebachelorette #bachelornation #abc #abctelevision #abcnetwork #realitytv #highlights #season26 #s26 #claytonechard https://t.co/ZSN3TPoIjk",0,,"Best tvshow thebachelor thebachelorette bachelornation abc abctelevision abcnetwork realitytv highlights season26 s26 claytonechard",,98
2022-06-12,"Download the Best #app to share your #Best #tvshow content: https://t.co/3LwU9b70mg 
#thebachelor #thebachelorette #bachelornation #abc #abctelevision #abcnetwork #realitytv #highlights #season26 #s26  https://t.co/ImbyRyCvEF https://t.co/UbilbRcSGa",0,,"app Best tvshow thebachelor thebachelorette bachelornation abc abctelevision abcnetwork realitytv highlights season26 s26",,99
2022-06-12,"#Best of the day on https://t.co/yDTLVmXMbb
The Bachelorette - Meet The Men
https://t.co/c5bMPyaopd
#tvshow #thebachelor #thebachelorette #bachelornation #abc #abctelevision #abcnetwork #realitytv #highlights #season26 #s26 #claytonechard",1,,"Best tvshow thebachelor thebachelorette bachelornation abc abctelevision abcnetwork realitytv highlights season26 s26 claytonechard",,100
